ERRCODE,ERRDESC,EN_ERRDESC,ZH_ERRDESC
1,[1]: Mã sự kiện không tồn tại,[1]: Error execute in database.,事件代码不存在
0,Giao dịch thực hiện thành công,Transaction successfull!,交易成功,
101,Tên đăng nhập không hợp lệ!,Tên đăng nhập không hợp lệ!,Tên đăng nhập không hợp lệ!,
102,Pin không đúng!,Pin không đúng!,Pin không đúng!
-1,[-1]: Lỗi hệ thống.,[-1]: System error.,系統進程錯誤！
-107,[H107]: Thông tin đăng nhập của tài khoản không hợp lệ.,[H107]: Invalid account credentials.,賬戶登錄信息無效
-108,[-108]: Chức năng chưa được đăng ký!,[-108]: Function is not registered!,此功能未註冊！
-111,[-111]: thoi gian chuyen tien sai qui dinh,[-111]: thoi gian chuyen tien sai qui dinh,thoi gian chuyen tien sai qui dinh
-10000,[-10000]: Số hiệu lệnh không đúng,[-10000]: INVALID_ORDERID,下單編碼無效
-10001,[-10001]: Khối lượng phải lơn hơn 0,[-10001]: The quantity must be greater than 0,數量必須大於0！
-10002,[-10002]: Giá phải lơn hơn 0,[-10002]: The price must be greater than 0,價格必須大於0！
-10003,[-10003]: Số tiểu khoản không đúng,[-10003]: INVALID_ACCTNO,子賬號無效
-10004,[-10004]: Giá phải nằm trong khoảng trần sàn,[-10004]: Price must between floor and ceil price,價格必須在上限內
-10005,[-10005]: Phiên giao dịch không hợp lệ,[-10005]: Invalid trading session status,交易時段狀態無效
-10006,[-10006]: Loại mua bán không hợp lệ,[-10006]: Invalid side,買賣類型無效
-10007,[-10007]: Loại lệnh không hợp lệ,[-10007]: Invalid type,下單類型無效
-10008,[-10008]: Không tìm thấy số hiệu lệnh hoặc lệnh không thể sửa,[-10008]: Can not find orderId or orderId can not edit,無法找到下單編碼或無法編輯下單指令
-10010,[-10010]: Khối lượng sửa phải lớn hơn khối lượng đã khớp,[-10010]: Replace order must have qty greater than execute qty,修正量必須大於成交量
-10011,[-10011]: Bước giá không hợp lệ,[-10011]: Invalid price step,價格間距不對
-10012,[-10012]: Trùng mã yêu cầu,[-10012]: Duplicate requestid,重複要求代碼
-10017,[-10017]: Mã chứng khoán không tồn tại,[-10017]: Symbol Not Found,股票代碼不存在
-70057,[-70057]: Vượt quá số lượng nhóm lệnh tối đa!,[-70057]:Vượt quá số lượng nhóm lệnh tối đa!,超過下單最大數量！
-70058,[-70058]: Còn lệnh trong nhóm!!,[-70058]:Still have orders in the group!!,組裡還有訂單！！
-70059,[-70059]: Tài khoản khách hàng đang trong quá trình thay đổi thông tin. Không thể đặt, sửa lệnh!,[-70059]: Tài khoản khách hàng đang trong quá trình thay đổi thông tin. Không thể đặt, sửa lệnh!,您帳戶正在更改信息中。 無法下單，編輯訂單！
-100001,[-100001]: Mã chi nhánh/đại lý bị trùng!,[-100001]: Branch code is duplicated!,Branch code is duplicated!
-100002,[-100002]: Không thể xoá chi nhánh/đại lý hiện tại!,[-100002]: Cannot delete current branch!,Cannot delete current branch!
